,0
0,1075181.809403671
1,1071525.0573336803
2,1074021.2468371142
3,1072154.1462533576
4,1072632.389506831
5,1070048.7819442174
6,1071173.097110207
7,1061975.4693088713
8,1072396.8626352865
9,1058672.5683960244
10,1053201.6858957259
11,1064265.7433217848
12,1059324.8267885472
13,1066782.1138397425
14,1073283.4270427257
15,1067860.9603517994
16,1068502.4919024073
17,1066733.4113672979
18,1068918.3230543395
19,1067849.4082355099
20,1067180.048886817
21,1067659.584308662
22,1068747.0498817845
23,1068657.7852115398
24,1067989.483180046
25,1067989.483180046
26,1067989.483180046
27,1067899.1721255402
28,1067726.4132414025
29,1067726.4132414025
30,1067726.4132414025
31,1067726.4132414025
32,1067726.4132414025
33,1067726.4132414025
34,1067506.7670608524
35,1067833.5660214515
36,1067541.9953063934
37,1067421.9307085308
38,1066881.7399227093
39,1068810.156624476
40,1073082.8833137525
41,1077851.410481223
42,1076728.4193702065
43,1074188.3657811095
44,1076643.4194961516
45,1073894.223866431
46,1073048.6976553896
47,1067554.7904540203
48,1074875.3121363064
49,1077235.8204595137
50,1073365.946541779
51,1065914.1667588786
52,1078077.3784754078
53,1073819.5915422502
54,1073490.6418083876
55,1070957.3541131762
56,1069996.404232976
57,1070744.12082808
58,1063599.2676709332
59,1068622.9835233507
60,1058663.4754775662
61,1064793.1234542604
62,1067479.2849784973
