,0
0,511.2921529097948
1,1609.4939180235378
2,2836.9673396651633
3,832.3913853648119
4,-1828.142475262517
5,-2778.899039457552
6,3800.064214754384
7,12275.8616848893
8,8324.189108329127
9,18869.67693292373
10,-18839.409524676157
11,4376.308504738845
12,3058.460873991018
13,10964.2184939601
14,-6368.294638930121
15,1789.2869287915528
16,20219.567067984026
17,-5654.3644200598355
18,3658.7393101064954
19,10034.823193418095
20,7074.804422768531
21,-1716.4016915762331
22,-12779.972187689971
23,-1059.438238924602
24,458.6526800938882
25,21301.555967788212
26,7766.80241454416
27,-9315.485589604592
28,20291.75146322651
29,-216.7954640192911
30,4198.364097183337
31,-3086.137235581642
32,8525.527461490594
33,3726.6475106261205
34,-1445.5870015609544
35,-4638.578244094737
36,-6102.201921608765
37,7461.328263471369
38,-73.09337109257467
39,-4677.597292247694
40,92.01305152103305
41,-12425.569741995307
42,115.75640523433685
43,24943.376096792286
44,3031.0889579358045
45,6658.090624230914
46,2712.8448551755864
47,10148.64977497654
48,3797.433686614968
49,-4531.448533734307
50,-5755.759526802693
51,15113.598531585885
52,-31987.798088200158
53,-5219.3872542795725
54,10603.663110380294
55,-3790.7166494617704
56,5801.078160762554
57,5594.350081827957
58,22868.229515180457
59,-30163.853181245737
60,-1365.7286299837288
61,0.0
