account_value,datadate,daily_return,Date
1088478.9791800026,20160914,6.142752718418798e-05,2016-09-14
1097276.8708014288,20160915,0.008082739115507831,2016-09-15
1089306.2693662557,20160916,-0.0072639838196457696,2016-09-16
1091334.6809459506,20160919,0.0018621131969385196,2016-09-19
1091959.4767235185,20160920,0.0005725061142805021,2016-09-20
1105555.1727604386,20160921,0.0124507331331698,2016-09-21
1110135.4283957658,20160922,0.004142946230255351,2016-09-22
1100053.3802133135,20160923,-0.009081818239979667,2016-09-23
1090968.316055086,20160926,-0.008258748458611964,2016-09-26
1096286.4617311768,20160927,0.004874702223544913,2016-09-27
1112882.579263815,20160928,0.015138486255162453,2016-09-28
1107006.0319779254,20160929,-0.0052804737852729655,2016-09-29
1118042.4457300007,20160930,0.009969605795513203,2016-09-30
1118042.4457300007,20161003,0.0,2016-10-03
1105430.919528654,20161004,-0.011280006630796757,2016-10-04
1114388.060803972,20161005,0.008102850315727661,2016-10-05
1115131.483507005,20161006,0.000667112946720394,2016-10-06
1108400.4123505978,20161007,-0.006036123323537201,2016-10-07
1107803.4664852887,20161010,-0.0005385651779424849,2016-10-10
1097867.7881071076,20161011,-0.008968809611784145,2016-10-11
1098445.387898232,20161012,0.0005261105183897996,2016-10-12
1094262.7867962942,20161013,-0.00380774606368095,2016-10-13
1097998.924864243,20161014,0.003414296924861393,2016-10-14
1093776.54406168,20161017,-0.00384552362206092,2016-10-17
1096756.886255715,20161018,0.0027248181634684787,2016-10-18
1101540.0926115476,20161019,0.004361227557150071,2016-10-19
1096386.7442878068,20161020,-0.004678312081699332,2016-10-20
1094440.1935108765,20161021,-0.0017754234872611185,2016-10-21
1097593.6086338088,20161024,0.002881304197003498,2016-10-24
1080436.9716634008,20161025,-0.015631137823190477,2016-10-25
1080597.9952541257,20161026,0.00014903561702173107,2016-10-26
1072959.2907014887,20161027,-0.0070689605072240536,2016-10-27
1083203.8524217794,20161028,0.009547950056514098,2016-10-28
1079603.8542647248,20161031,-0.0033234724461198573,2016-10-31
1072511.284360472,20161101,-0.0065696040971279235,2016-11-01
1068898.1061678277,20161102,-0.003368895269758254,2016-11-02
1070538.8084476162,20161103,0.0015349473166068606,2016-11-03
1072803.4945547236,20161104,0.0021154638105940204,2016-11-04
1095068.7776545745,20161107,0.02075429770024395,2016-11-07
1102034.8750808702,20161108,0.006361333249967904,2016-11-08
1132180.391511173,20161109,0.027354412380180326,2016-11-09
1156417.7817870579,20161110,0.021407710694878013,2016-11-10
1156277.46339923,20161111,-0.00012133883622145181,2016-11-11
1157891.1617538002,20161114,0.0013955978609374586,2016-11-14
1162062.3563207008,20161115,0.0036024064304824854,2016-11-15
1152599.8750380594,20161116,-0.008142834359251894,2016-11-16
1156467.9742464214,20161117,0.0033559774663642905,2016-11-17
1155707.7294764905,20161118,-0.0006573850611178989,2016-11-18
1158095.499926629,20161121,0.0020660677342878575,2016-11-21
1165338.7621407714,20161122,0.006254460201772005,2016-11-22
1175980.6395823143,20161123,0.00913200331720998,2016-11-23
1177510.4904150595,20161125,0.0013009149821450183,2016-11-25
1170073.176363977,20161128,-0.006316134006127627,2016-11-28
1167025.6782192069,20161129,-0.0026045363711697522,2016-11-29
1175581.037082387,20161130,0.007330908841898687,2016-11-30
1184208.4936143772,20161201,0.0073388871203659,2016-12-01
1179499.491925513,20161202,-0.00397649714071191,2016-12-02
1177523.0985675969,20161205,-0.001675620355452323,2016-12-05
1181504.2230271406,20161206,0.0033809310954380223,2016-12-06
1202740.4640180182,20161207,0.017973901893019173,2016-12-07
1203778.7978976436,20161208,0.0008633066822718583,2016-12-08
1211003.8619918742,20161209,0.006001986500218104,2016-12-09
1211017.9528832007,20161212,1.1635711304247565e-05,2016-12-12
1216823.8040241457,20161213,0.004794190810402332,2016-12-13
1202748.8358376594,20161214,-0.011566973081837406,2016-12-14
1209333.2110613177,20161215,0.005474439074449444,2016-12-15
1205540.252162976,20161216,-0.003136405139335441,2016-12-16
1208098.2125463795,20161219,0.002121837391007242,2016-12-19
1217568.255248344,20161220,0.00783880201428655,2016-12-20
1215255.4184713506,20161221,-0.0018995541046868958,2016-12-21
1217748.4643216713,20161222,0.002051458329193512,2016-12-22
1218009.6062972315,20161223,0.00021444656528935013,2016-12-23
1220152.8017193107,20161227,0.0017595882750010006,2016-12-27
1211223.9932142145,20161228,-0.0073177789638434465,2016-12-28
1211000.6301022463,20161229,-0.00018441106947975072,2016-12-29
1208238.3447194868,20161230,-0.002280994174648998,2016-12-30
1208238.3447194868,20170103,0.0,2017-01-03
1213520.3424147244,20170104,0.004371652098546841,2017-01-04
1209462.7125916271,20170105,-0.0033436850469462653,2017-01-05
1212089.7365475134,20170106,0.002172058657564646,2017-01-06
1207977.718520927,20170109,-0.003392502966239941,2017-01-09
1210252.825168933,20170110,0.0018834011696768904,2017-01-10
1219441.0403030296,20170111,0.0075919799094987805,2017-01-11
1214761.7839592,20170112,-0.003837214091684915,2017-01-12
1216871.0920851317,20170113,0.0017363965131147463,2017-01-13
1211551.5094536894,20170117,-0.004371525189514558,2017-01-17
1212538.5568081746,20170118,0.0008146969788600522,2017-01-18
1210756.5163046794,20170119,-0.0014696773916914596,2017-01-19
1216735.8985715453,20170120,0.0049385505560732845,2017-01-20
1215255.7257896834,20170123,-0.0012165111455982869,2017-01-23
1220623.798804726,20170124,0.0044172373773876394,2017-01-24
1235182.9707937927,20170125,0.011927648800001744,2017-01-25
1232319.4032553085,20170126,-0.0023183346971209495,2017-01-26
1234716.458924049,20170127,0.0019451577751745663,2017-01-27
