,0
0,1542578.4546280266
1,1541832.6269460933
2,1541677.7804503338
3,1541677.7804503338
4,1541677.7804503338
5,1541677.7804503338
6,1541677.7804503338
7,1541677.7804503338
8,1541677.7804503338
9,1541677.7804503338
10,1541677.7804503338
11,1541677.7804503338
12,1541677.7804503338
13,1541677.7804503338
14,1541677.7804503338
15,1541677.7804503338
16,1541677.7804503338
17,1541677.7804503338
18,1541677.7804503338
19,1541677.7804503338
20,1541677.7804503338
21,1541677.7804503338
22,1541677.7804503338
23,1541677.7804503338
24,1541677.7804503338
25,1541677.7804503338
26,1541677.7804503338
27,1541677.7804503338
28,1541579.3819357958
29,1541440.8479164066
30,1541440.8479164066
31,1541440.8479164066
32,1541440.8479164066
33,1541440.8479164066
34,1541440.8479164066
35,1541440.8479164066
36,1541440.8479164066
37,1541440.8479164066
38,1541440.8479164066
39,1541440.8479164066
40,1541440.8479164066
41,1541440.8479164066
42,1541440.8479164066
43,1541440.8479164066
44,1541440.8479164066
45,1541440.8479164066
46,1541440.8479164066
47,1541440.8479164066
48,1541440.8479164066
49,1541440.8479164066
50,1541440.8479164066
51,1541440.8479164066
52,1541440.8479164066
53,1541440.8479164066
54,1541440.8479164066
55,1541440.8479164066
56,1541440.8479164066
57,1541440.8479164066
58,1541440.8479164066
59,1541440.8479164066
60,1541440.8479164066
61,1541440.8479164066
62,1541440.8479164066
