,0
0,-9213.320754803019
1,8957.141275317874
2,743.4227030330803
3,-6731.071156407241
4,-596.9458653090987
5,-9935.678378181066
6,577.5997911242303
7,-4182.601101937937
8,3736.1380679490976
9,-4222.380802563159
10,2980.3421940351836
11,4783.206355832517
12,-5153.348323740764
13,-1946.550776930293
14,3153.415122932289
15,-17156.636970408028
16,161.02359072491527
17,-7638.7045526369475
18,10244.56172029092
19,-3599.9981570548844
20,-7092.569904252654
21,-3613.178192644613
22,1640.7022797886748
23,2264.686107107438
24,22265.283099850873
25,6966.097426295746
26,30145.516430302756
27,24237.390275885118
28,-140.3183878280688
29,1613.698354570195
30,4171.194566900842
31,-9462.481282641646
32,3868.099208361935
33,-760.2447699308395
34,2387.770450138487
35,7243.2622141423635
36,10641.877441543154
37,1529.8508327449672
38,-7437.314051082823
39,-3047.4981447698083
40,8555.358863179805
41,8627.456531990552
42,-4709.001688864315
43,-1976.3933579160366
44,3981.124459543731
45,21236.240990877617
46,1038.3338796254247
47,7225.064094230533
48,14.090891326544806
49,5805.851140944753
50,-14074.968186486047
51,6584.375223658048
52,-3792.958898341516
53,2557.9603834035806
54,9470.0427019645
55,-2312.836776993703
56,2493.045850320952
57,261.14197556022555
58,2143.1954220791813
59,-8928.80850509624
60,-223.3631119679194
61,-2762.2853827597573
