,0
0,75.89705356466584
1,2579.9642989856657
2,867.6704874327406
3,673.625405235216
4,-1449.922518787207
5,-2705.91576322983
6,3030.3081038324162
7,413.0512366462499
8,5537.61809882056
9,7359.461576356087
10,-10342.963625943754
11,1550.4248566366732
12,-3016.442091264995
13,12208.578205235768
14,-11373.395673467312
15,4612.9879938995
16,28321.454387806123
17,-6610.8411101452075
18,211.82809519791044
19,5834.141345668118
20,11011.618172884919
21,-2305.678834604332
22,-15066.510537245078
23,-1392.3886513980106
24,701.4320902191103
25,23868.083697041962
26,4575.996807343094
27,-7857.603723641485
28,24703.19591044425
29,-1607.9871480036527
30,13498.374928443693
31,-11908.250414060429
32,7174.167667878792
33,10041.668555484153
34,-7837.970082128886
35,-3749.1866914497223
36,-12634.745406538248
37,7055.614942507818
38,-2451.5645229364745
39,-7425.018641217845
40,-4957.131151665235
41,-11814.52935538115
42,-1210.478707861388
43,8090.433512985939
44,-11656.51035986282
45,9152.945116514806
46,-5125.221184826689
47,7672.6488762837835
48,-1086.9839152579661
49,209.1766302534379
50,-7241.09936947329
51,11835.059951128438
52,-36947.441340309335
53,-679.7192075371277
54,8792.249587822473
55,-3397.8045700190123
56,5700.937368164305
57,12309.374788688496
58,28157.96864907886
59,-100290.47043900727
60,-1545.7894468661398
61,0.0
