,0
0,1127399.082286364
1,1121591.8394775977
2,1125616.4117129815
3,1125451.6487407032
4,1125392.3809608298
5,1130262.6462861588
6,1132794.913967146
7,1136726.1310742204
8,1135856.96190659
9,1134597.1740995415
10,1136128.2371877236
11,1133976.8383824986
12,1131106.1283068578
13,1129363.2397081086
14,1134415.8875066352
15,1134015.2412956348
16,1130824.670980482
17,1129769.3090808697
18,1130130.5961457884
19,1130827.2838759637
20,1130541.792591563
21,1130965.8177449824
22,1131381.0408104286
23,1131281.290318104
24,1130817.4130560828
25,1129672.319377582
26,1127084.9928229752
27,1127836.3443092757
28,1130453.5912477337
29,1130355.0820752878
30,1130431.6234352659
31,1124841.0534087722
32,1123389.1921900737
33,1123898.514877979
34,1129374.0754118217
35,1126417.0627494073
36,1126201.36364934
37,1125612.3706395065
38,1127236.0906847017
39,1129707.0072806554
40,1130179.7300476553
41,1133223.73881287
42,1134913.1717185285
43,1124788.1563986114
44,1126928.9872708921
45,1127895.39441508
46,1128018.808552341
47,1139569.330292266
48,1146176.8233291605
49,1148757.8142034991
50,1152020.0986768478
51,1156360.6037255346
52,1159200.9892684584
53,1158698.2278351197
54,1161419.567759412
55,1160243.086517013
56,1159473.1370256403
57,1157466.606537344
58,1154455.4953756928
59,1154622.4333651725
60,1158677.7775473888
61,1160024.2627289265
62,1169340.7288653173
