,0
0,3625.818573901197
1,4266.161691882648
2,-1006.59769557463
3,-691.3057915696409
4,5177.511761152651
5,5571.734830882167
6,519.8241213047877
7,-1100.2176050108392
8,1087.554553505266
9,6598.202147765085
10,3791.5553302641492
11,716.3935325080529
12,9626.174161793431
13,-1119.091787546873
14,16188.369028699817
15,-8577.40842349385
16,3083.262324388372
17,-3146.8732731987257
18,-5223.392853133846
19,-2476.262842799537
20,4484.057815139182
21,3657.628342393553
22,181.32776806200854
23,1138.1122517257463
24,3204.2890374094713
25,-2172.172835079953
26,-10794.39893432986
27,-2545.4046021781396
28,384.44376088585705
29,2565.049857770093
30,-10226.120910860598
31,7846.320507043041
32,-5703.037825959036
33,5759.544733601157
34,8246.285635272041
35,-2724.3374724506866
36,2233.551876810612
37,584.5846063829958
38,13605.405224510469
39,-59.23802922829054
40,25257.90229091444
41,-8123.038651219336
42,5981.409381327918
43,-6317.480618648464
44,5986.373675613664
45,9836.559388011694
46,9226.622233370086
47,-945.4898691708222
48,10819.3107184018
49,14958.944639167981
50,-5377.624096793821
51,8079.673858559923
52,9994.38181676995
53,1198.111830811249
54,4463.963375303661
55,1840.7362365091685
56,2360.4433184647933
57,3601.9626260763034
58,4426.239991567098
59,3558.3290714728646
60,-5821.945032287622
61,2135.8746921631973
