,0
0,1103432.63524209
1,1092726.2134032561
2,1095132.3463147085
3,1096085.275880772
4,1094229.5668042284
5,1100739.7334305437
6,1090818.7734302897
7,1091502.227822531
8,1089844.9453020098
9,1091751.6887607523
10,1090684.387630815
11,1091690.970495286
12,1090805.703293363
13,1082354.6812011818
14,1081495.1145804292
15,1091290.3142997515
16,1092350.0752946085
17,1090766.211716628
18,1088777.7103120277
19,1086038.745689161
20,1088168.0669170895
21,1081651.253880103
22,1074453.8758770952
23,1070413.5506794767
24,1066947.5913184958
25,1083276.6308513943
26,1086394.7617451265
27,1091594.8385628513
28,1088853.969714332
29,1091197.7068160726
30,1089628.3088146793
31,1099667.0193604701
32,1100533.4546248342
33,1103369.7962261988
34,1101234.5713693094
35,1108293.3486340335
36,1112475.0687845135
37,1116304.2474846197
38,1122836.4918886356
39,1127225.6919513536
40,1126833.0222921278
41,1113034.0940929486
42,1111484.8825291323
43,1116141.0378416611
44,1117745.5752160002
45,1120050.5209851146
46,1135875.8835252072
47,1129816.027342658
48,1146455.7042057158
49,1153509.1720655132
50,1160914.5710539606
51,1146466.9543677021
52,1146311.3951748945
53,1151487.9511374475
54,1161417.2677883173
55,1163156.321431718
56,1161126.412023971
57,1158986.4009054755
58,1159152.519903474
59,1159952.1874980927
60,1153701.1026171637
61,1156073.2259430434
62,1149026.7793002895
