,0
0,1342681.7461917396
1,1348393.226380726
2,1353363.5020638509
3,1351582.0320195223
4,1352634.0274544316
5,1351882.9656949767
6,1352955.6355673042
7,1351580.8469400592
8,1353413.797086535
9,1356952.4730619602
10,1365038.7366230264
11,1364209.9709127874
12,1359879.7210799505
13,1366414.8711261973
14,1365668.1908964047
15,1366106.4029522866
16,1362001.5678260631
17,1373360.2556978744
18,1370356.0991045902
19,1364553.865125453
20,1370765.4470014817
21,1375336.1832872522
22,1376372.7225023697
23,1379597.85798892
24,1376956.3875950922
25,1380775.763239005
26,1381181.172182817
27,1375287.4523880547
28,1369903.372827461
29,1368645.1064399811
30,1364266.2548507156
31,1354845.6281597833
32,1364403.8580671332
33,1359176.8109740296
34,1359357.084241519
35,1369655.1024384026
36,1368715.6315052228
37,1373828.2670408986
38,1373008.6565589467
39,1384871.3281032394
40,1388864.6893359537
41,1411162.1007528568
42,1404033.0655172116
43,1400662.0077041595
44,1396288.4395311847
45,1393774.4628166745
46,1399829.7227261597
47,1408472.455212138
48,1414508.2353226116
49,1419895.5793811409
50,1424693.774379555
51,1416694.2787925662
52,1427819.2593167028
53,1435389.4629740524
54,1431002.8241145867
55,1431433.4931070213
56,1439064.3479014572
57,1438421.4215026118
58,1437104.143154611
59,1439193.8842116422
60,1443840.950485187
61,1436330.0784297637
62,1445737.8088300817
