,0
0,-37126.33738235617
1,-346.3618100634776
2,29469.418861994054
3,-13045.884204739705
4,17491.199430684792
5,-8675.94893783261
6,12872.659359424608
7,14924.891744179651
8,5717.286915326724
9,-12059.774358850671
10,-1485.5713711907156
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,501.5330145377666
29,-101.52551308646798
30,-626.512311590137
31,1521.3126873667352
32,-1457.290168747073
33,227.8231934614014
34,-2125.4038532644045
35,-2063.570145034697
36,-7188.784860450774
37,7220.968636301346
38,-5778.546702101128
39,6263.669870616635
40,4519.159951413516
41,34.282451854553074
42,10298.750335440738
43,6007.698501566658
44,4507.623783251271
45,447.31744663533755
46,686.8379118782468
47,-4391.935296490323
48,-1116.3891410764772
49,-876.3322440723423
50,-5883.102341461694
51,-6098.100904175546
52,-2204.4492268429603
53,-8036.950455680257
54,6130.358632728225
55,-16427.285802779254
56,2900.8697045056615
57,-6242.523063495057
58,5636.768088616431
59,263.942819802789
60,-1470.6273096518125
61,0.0
