,0
0,1092410.0185688895
1,1101774.8540479844
2,1099276.6948619373
3,1100796.5178597085
4,1093692.9181684242
5,1092093.6911479265
6,1099630.24822734
7,1094667.3984295663
8,1094069.3046436447
9,1094492.969261466
10,1086830.873062633
11,1081449.1953155296
12,1083012.3029242351
13,1079372.5795140495
14,1084858.6842489676
15,1092370.3459951316
16,1094023.3446575971
17,1097315.3738142422
18,1091497.0156187767
19,1087267.473352034
20,1084468.0827920157
21,1080596.575172718
22,1084886.619948094
23,1082135.368709238
24,1081579.1842051018
25,1076632.6140157303
26,1082325.40708765
27,1088757.214927942
28,1095092.2948495143
29,1099019.4631227364
30,1103906.345648752
31,1103709.372024225
32,1096365.2091503725
33,1102734.108239139
34,1101090.751413275
35,1107046.9330327993
36,1107083.5875656889
37,1110546.5992590368
38,1107378.6672799035
39,1123342.4368884885
40,1119248.7028559742
41,1117475.2936836805
42,1116365.6651734211
43,1114031.8348164712
44,1106325.4384770298
45,1107847.533063247
46,1110834.956697966
47,1110255.0185412087
48,1107641.2303785922
49,1115354.6565789562
50,1113509.236743254
51,1111543.1494991414
52,1107851.5541145906
53,1095792.0436108361
54,1095966.59333842
55,1094153.8550469389
56,1089442.722683449
57,1088254.470095048
58,1095257.6573822575
59,1092449.8939582356
60,1098942.8354804323
61,1091940.638015329
62,1091804.7971377769
