,0
0,-7605.7787303230725
1,4071.666666419944
2,-3964.3886760608293
3,-1962.8621945746709
4,5741.254132982809
5,1408.0109097275417
6,4554.903849055292
7,-912.143045085948
8,-970.730293481145
9,6261.824793203501
10,-2142.7588319280185
11,-1523.7959352817852
12,-2631.557783136377
13,4621.035174053861
14,7238.221504170913
15,4597.567074595718
16,-1134.7867409852333
17,21.593014798127115
18,617.9026389434002
19,147.93766536028124
20,182.73632772406563
21,30.896929766284302
22,1314.2457296587527
23,-475.61032816790976
24,-2433.9846782935783
25,-5799.166429456789
26,1711.0017341328785
27,5495.371435522335
28,2874.803577474784
29,-249.2232663265895
30,-10210.665399514139
31,-2731.1813529867213
32,2730.057946448447
33,10611.188313793158
34,-6648.501148212003
35,-303.0012724187691
36,-967.5528908194974
37,1287.610603730427
38,4925.193462756462
39,-96.80944001604803
40,3321.612119582249
41,2194.718452155823
42,-7612.737666538218
43,1044.205332066631
44,1681.0701324604452
45,825.694789477624
46,14411.073572628433
47,1543.7518065392505
48,3379.218184094643
49,3171.725504569942
50,3530.307675430784
51,4676.120429347735
52,-2674.6047447931487
53,4603.5393489822745
54,494.52215793333016
55,-2124.7643419350497
56,-7360.36907585524
57,-1445.195935259806
58,7167.346813195152
59,4018.8901071145665
60,2667.9193623221945
61,10260.684400779428
