,0
0,1086672.4807824583
1,1082959.7695017883
2,1068851.6010874764
3,1070990.9219870444
4,1072661.8440749964
5,1083157.54461051
6,1094843.412591348
7,1097392.5333671074
8,1087647.9419215093
9,1082280.9209382057
10,1081268.3440115985
11,1084033.3381510968
12,1073520.0286752614
13,1073977.9596610877
14,1074512.6057700051
15,1073830.9000301214
16,1050020.850448976
17,1034587.8156050144
18,1025670.1945407898
19,1030475.4351546441
20,1034811.8534889279
21,1031474.1629110351
22,1028046.5231572775
23,1030471.446450182
24,1031571.1394903505
25,1040409.328845248
26,1025868.7685852981
27,1022263.4245008908
28,1015658.217373366
29,1032981.2515457518
30,1025365.1724619647
31,1024517.6592787097
32,1021830.0353355705
33,1020233.0295608833
34,1024719.7866370765
35,1035404.2357194467
36,1041918.4971032075
37,1043001.5007719572
38,1043324.3174391505
39,1036517.7927079673
40,1034282.4271642427
41,1031948.384822882
42,1033235.5510303138
43,1040747.6662212122
44,1041290.2343213123
45,1048572.2307140476
46,1051853.3243557469
47,1045278.2345061809
48,1042110.1952853635
49,1040432.0793629028
50,1037234.2567532371
51,1042480.4544239604
52,1035432.4740533547
53,1042481.3336295529
54,1040780.9690518111
55,1031585.9927206608
56,1038885.1936858409
57,1018871.7639306298
58,1003091.6533819393
59,1019032.436676908
60,1031048.2731846368
61,1039020.4627974909
62,1039997.5675384871
