,0
0,1050947.3937267102
1,1055564.7505370746
2,1055764.9983711436
3,1061405.1420733377
4,1063360.491685766
5,1066160.0965285806
6,1072481.1047293865
7,1068314.179105449
8,1067836.5101069494
9,1067189.234924061
10,1068120.0582322674
11,1065953.4682922263
12,1069534.8916631888
13,1068554.857106465
14,1074854.182935759
15,1091024.3735232216
16,1091631.297687669
17,1094437.7081475211
18,1084603.0267647156
19,1078302.5083626194
20,1102366.2634100914
21,1098010.2171575832
22,1103692.5336360815
23,1107255.9500279366
24,1114240.0120428097
25,1114418.1781738643
26,1119192.5973978797
27,1124604.3454854027
28,1135885.443362259
29,1142431.2610443062
30,1147047.3336001947
31,1150104.608587208
32,1153832.6283185338
33,1159242.6247033516
34,1163685.409762906
35,1162162.385240286
36,1162613.4561496382
37,1164902.4109131473
38,1163702.6970621105
39,1183192.9516149047
40,1175588.1414024574
41,1177218.9445222202
42,1174859.5369464734
43,1174641.1741260365
44,1170336.3117383902
45,1169542.182720838
46,1171060.1480905877
47,1170669.4992202846
48,1168025.5858668105
49,1173563.0792573295
50,1173690.1107955638
51,1171971.0949051871
52,1173671.1979233357
53,1159659.748810653
54,1161009.3720814842
55,1159873.9220062315
56,1154833.8359702053
57,1153243.4263417306
58,1162382.7259948533
59,1160842.1028180108
60,1166055.8838447933
61,1162051.0369790692
62,1160468.587020514
