,0
0,1474410.2390900066
1,1474760.2496432522
2,1474664.981585236
3,1474664.981585236
4,1474664.981585236
5,1474664.981585236
6,1474664.981585236
7,1474664.981585236
8,1474664.981585236
9,1474664.981585236
10,1474664.981585236
11,1474664.981585236
12,1474664.981585236
13,1474664.981585236
14,1474664.981585236
15,1474664.981585236
16,1474664.981585236
17,1474664.981585236
18,1474664.981585236
19,1474664.981585236
20,1474664.981585236
21,1474664.981585236
22,1474664.981585236
23,1474664.981585236
24,1474664.981585236
25,1474664.981585236
26,1474664.981585236
27,1474664.981585236
28,1474664.981585236
29,1474664.981585236
30,1474664.981585236
31,1474664.981585236
32,1474664.981585236
33,1474664.981585236
34,1474664.981585236
35,1474664.981585236
36,1474664.981585236
37,1474664.981585236
38,1474664.981585236
39,1474664.981585236
40,1474664.981585236
41,1474664.981585236
42,1474664.981585236
43,1474664.981585236
44,1474664.981585236
45,1474664.981585236
46,1474664.981585236
47,1474664.981585236
48,1474664.981585236
49,1474664.981585236
50,1474664.981585236
51,1474664.981585236
52,1474664.981585236
53,1474664.981585236
54,1474664.981585236
55,1474664.981585236
56,1474664.981585236
57,1473330.9731735645
58,1473745.3094443327
59,1475444.8511186177
60,1476598.1139149258
61,1479392.8077886319
62,1477705.3880612513
