,0
0,1411789.4071874395
1,1410713.9579572754
2,1410542.450427271
3,1410542.450427271
4,1410542.450427271
5,1410542.450427271
6,1410542.450427271
7,1412003.3010913408
8,1410207.084246603
9,1418605.56743525
10,1421435.687442218
11,1420833.6244182554
12,1420833.6244182554
13,1420833.6244182554
14,1420833.6244182554
15,1420833.6244182554
16,1420833.6244182554
17,1420833.6244182554
18,1420833.6244182554
19,1420833.6244182554
20,1420833.6244182554
21,1420833.6244182554
22,1420833.6244182554
23,1420833.6244182554
24,1420833.6244182554
25,1420833.6244182554
26,1420833.6244182554
27,1420833.6244182554
28,1420833.6244182554
29,1420833.6244182554
30,1420833.6244182554
31,1420833.6244182554
32,1420833.6244182554
33,1420833.6244182554
34,1420833.6244182554
35,1420833.6244182554
36,1420833.6244182554
37,1420833.6244182554
38,1420833.6244182554
39,1420833.6244182554
40,1420833.6244182554
41,1420833.6244182554
42,1420833.6244182554
43,1420833.6244182554
44,1420833.6244182554
45,1420833.6244182554
46,1420833.6244182554
47,1420833.6244182554
48,1420833.6244182554
49,1420833.6244182554
50,1420833.6244182554
51,1420833.6244182554
52,1420833.6244182554
53,1420833.6244182554
54,1420833.6244182554
55,1420833.6244182554
56,1420833.6244182554
57,1430020.7958721297
58,1429836.2265758528
59,1429836.2265758528
60,1429836.2265758528
61,1429836.2265758528
62,1429836.2265758528
