,0
0,1497465.731363619
1,1496929.0077059155
2,1498238.105182128
3,1498021.5877287923
4,1497029.4221216578
5,1496897.2727080404
6,1496897.2727080404
7,1496897.2727080404
8,1496897.2727080404
9,1496897.2727080404
10,1496897.2727080404
11,1496897.2727080404
12,1496897.2727080404
13,1496897.2727080404
14,1496897.2727080404
15,1496897.2727080404
16,1496897.2727080404
17,1496897.2727080404
18,1496897.2727080404
19,1496897.2727080404
20,1496897.2727080404
21,1496897.2727080404
22,1496897.2727080404
23,1496897.2727080404
24,1496897.2727080404
25,1496897.2727080404
26,1496897.2727080404
27,1496897.2727080404
28,1496897.2727080404
29,1496897.2727080404
30,1496897.2727080404
31,1496897.2727080404
32,1496897.2727080404
33,1494080.4589330223
34,1490770.2579219753
35,1490657.1748831545
36,1490657.1748831545
37,1488552.4044596085
38,1488422.6413321856
39,1488422.6413321856
40,1488422.6413321856
41,1488422.6413321856
42,1488422.6413321856
43,1488422.6413321856
44,1488422.6413321856
45,1488422.6413321856
46,1488422.6413321856
47,1488422.6413321856
48,1488422.6413321856
49,1488422.6413321856
50,1488422.6413321856
51,1488422.6413321856
52,1488422.6413321856
53,1488422.6413321856
54,1488422.6413321856
55,1488422.6413321856
56,1488422.6413321856
57,1488422.6413321856
58,1488422.6413321856
59,1488422.6413321856
60,1488422.6413321856
61,1488422.6413321856
62,1488422.6413321856
